,No. Of Packets,h1 to h2,h2 to h1,h2 to h3 ,h3 to h2,h1 to h3,h3 to h1,h3 to h4,h4 to h3
,5,0.136,0.102,0.119,0.125,0.172,0.172,0.174,0.232
,10,0.016,0.015,0.014,0.03,0.015,0.013,0.026,0.031
,20,0.039,0.013,0.029,0.03,0.027,0.035,0.012,0.009
,30,0.017,0.015,0.014,0.022,0.019,0.019,0.016,0.009
,50,0.029,0.017,0.026,0.018,0.025,0.014,0.013,0.026
Round 1 ,100,0.018,0.013,0.012,0.023,0.019,0.024,0.018,0.016
,5,0.153,0.13,0.114,0.18,0.16,0.162,0.133,0.136
,10,0.023,0.013,0.028,0.029,0.021,0.01,0.037,0.011
,20,0.019,0.048,0.022,0.027,0.03,0.023,0.012,0.021
,30,0.011,0.014,0.017,0.018,0.018,0.052,0.011,0.012
,50,0.016,0.042,0.012,0.015,0.026,0.022,0.027,0.021
Round 2,100,0.022,0.017,0.017,0.016,0.026,0.02,0.02,0.015
,5,0.106,0.0152,0.097,0.975,0.029,0.165,0.0145,0.149
,10,0.017,0.018,0.041,0.011,0.177,0.025,0.016,0.062
,20,0.021,0.025,0.015,0.013,0.018,0.017,0.032,0.026
,30,0.015,0.024,0.013,0.01,0.011,0.011,0.014,0.012
,50,0.019,0.016,0.026,0.022,0.02,0.025,0.023,0.014
Round 3,100,0.016,0.022,0.018,0.018,0.023,0.022,0.014,0.022
AVERAGE,5,0.132,0.128,0.109,0.426,0.17,0.166,0.151,0.172
,10,0.019,0.015,0.028,0.023,0.018,0.016,0.026,0.035
,20,0.026,0.029,0.022,0.023,0.023,0.025,0.019,0.019
,30,0.014,0.018,0.015,0.017,0.019,0.027,0.014,0.011
,50,0.021,0.025,0.021,0.018,0.024,0.02,0.021,0.02
,100,0.019,0.017,0.016,0.019,0.024,0.022,0.017,0.018